Id,GameId,GameSysname,ProviderId,Provider,ManufId,Manuf,TypeId,Type,Alias,CaptionEN,Category,Description,Credits,IsLive,IsMobile,IsJackpot,JackpotContr.,ProviderFee,IsBonusExcluded,UpdateMan,UpadateCaptionEN,UpadateCategory,UpdateCaption,UpdateMobile,UpdateType,UpdateBonusExcluded,
1,81,AmericanRoulette,15,Viaden,1,Viaden,12,NORMAL,VD_AmericanRoulette,American Roulette,Roulette,Viaden,50,0,0,0,0,0.1,1,UPDATE [dbo].[UserCasinoGames] SET [Manufacturer] =1  WHERE id=1,UPDATE [dbo].[UserCasinoGames] SET [CaptionEN] = 'American Roulette' WHERE id =1,UPDATE [dbo].[UserCasinoGames] SET [Category] = 'Roulette' WHERE id =1,UPDATE [dbo].[UserCasinoGames] SET [Caption] = 'VD_AmericanRoulette' WHERE id =1,UPDATE [dbo].[UserCasinoGames] SET IsMobile = 0 WHERE id =1,UPDATE [dbo].[UserCasinoGames] SET Type = 12 WHERE id =1,UPDATE [dbo].[UserCasinoGames] SET IsBonusExcluded = 1 WHERE id =1,
2,1,EuropeanRoulette,15,Viaden,1,Viaden,12,NORMAL,VD_EuropeanRoulette,European Roulette,Roulette,Viaden,50,0,0,0,0,0.1,1,UPDATE [dbo].[UserCasinoGames] SET [Manufacturer] =1  WHERE id=2,UPDATE [dbo].[UserCasinoGames] SET [CaptionEN] = 'European Roulette' WHERE id =2,UPDATE [dbo].[UserCasinoGames] SET [Category] = 'Roulette' WHERE id =2,UPDATE [dbo].[UserCasinoGames] SET [Caption] = 'VD_EuropeanRoulette' WHERE id =2,UPDATE [dbo].[UserCasinoGames] SET IsMobile = 0 WHERE id =2,UPDATE [dbo].[UserCasinoGames] SET Type = 12 WHERE id =2,UPDATE [dbo].[UserCasinoGames] SET IsBonusExcluded = 1 WHERE id =2,
3,94,FrenchRoulette,15,Viaden,1,Viaden,12,NORMAL,VD_FrenchRoulette,French Roulette,Roulette,Viaden,20,0,0,0,0,0.1,1,UPDATE [dbo].[UserCasinoGames] SET [Manufacturer] =1  WHERE id=3,UPDATE [dbo].[UserCasinoGames] SET [CaptionEN] = 'French Roulette' WHERE id =3,UPDATE [dbo].[UserCasinoGames] SET [Category] = 'Roulette' WHERE id =3,UPDATE [dbo].[UserCasinoGames] SET [Caption] = 'VD_FrenchRoulette' WHERE id =3,UPDATE [dbo].[UserCasinoGames] SET IsMobile = 0 WHERE id =3,UPDATE [dbo].[UserCasinoGames] SET Type = 12 WHERE id =3,UPDATE [dbo].[UserCasinoGames] SET IsBonusExcluded = 1 WHERE id =3,
4,75,BlackJackSwitch,15,Viaden,1,Viaden,12,NORMAL,VD_BlackJackSwitch,BlackJack Switch,BlackJack,Viaden,10,0,0,0,0,0.1,1,UPDATE [dbo].[UserCasinoGames] SET [Manufacturer] =1  WHERE id=4,UPDATE [dbo].[UserCasinoGames] SET [CaptionEN] = 'BlackJack Switch' WHERE id =4,UPDATE [dbo].[UserCasinoGames] SET [Category] = 'BlackJack' WHERE id =4,UPDATE [dbo].[UserCasinoGames] SET [Caption] = 'VD_BlackJackSwitch' WHERE id =4,UPDATE [dbo].[UserCasinoGames] SET IsMobile = 0 WHERE id =4,UPDATE [dbo].[UserCasinoGames] SET Type = 12 WHERE id =4,UPDATE [dbo].[UserCasinoGames] SET IsBonusExcluded = 1 WHERE id =4,
5,5,CardWars,15,Viaden,1,Viaden,12,NORMAL,VD_CardWars,Card Wars,Table Game,Viaden,10,0,0,0,0,0.1,0,UPDATE [dbo].[UserCasinoGames] SET [Manufacturer] =1  WHERE id=5,UPDATE [dbo].[UserCasinoGames] SET [CaptionEN] = 'Card Wars' WHERE id =5,UPDATE [dbo].[UserCasinoGames] SET [Category] = 'Table Game' WHERE id =5,UPDATE [dbo].[UserCasinoGames] SET [Caption] = 'VD_CardWars' WHERE id =5,UPDATE [dbo].[UserCasinoGames] SET IsMobile = 0 WHERE id =5,UPDATE [dbo].[UserCasinoGames] SET Type = 12 WHERE id =5,UPDATE [dbo].[UserCasinoGames] SET IsBonusExcluded = 0 WHERE id =5,
6,88,FaceUp21,15,Viaden,1,Viaden,12,NORMAL,VD_FaceUp21,Face Up 21,Table Game,Viaden,10,0,0,0,0,0.1,0,UPDATE [dbo].[UserCasinoGames] SET [Manufacturer] =1  WHERE id=6,UPDATE [dbo].[UserCasinoGames] SET [CaptionEN] = 'Face Up 21' WHERE id =6,UPDATE [dbo].[UserCasinoGames] SET [Category] = 'Table Game' WHERE id =6,UPDATE [dbo].[UserCasinoGames] SET [Caption] = 'VD_FaceUp21' WHERE id =6,UPDATE [dbo].[UserCasinoGames] SET IsMobile = 0 WHERE id =6,UPDATE [dbo].[UserCasinoGames] SET Type = 12 WHERE id =6,UPDATE [dbo].[UserCasinoGames] SET IsBonusExcluded = 0 WHERE id =6,
7,83,Pontoon,15,Viaden,1,Viaden,12,NORMAL,VD_Pontoon,Pontoon,Table Game,Viaden,10,0,0,0,0,0.1,0,UPDATE [dbo].[UserCasinoGames] SET [Manufacturer] =1  WHERE id=7,UPDATE [dbo].[UserCasinoGames] SET [CaptionEN] = 'Pontoon' WHERE id =7,UPDATE [dbo].[UserCasinoGames] SET [Category] = 'Table Game' WHERE id =7,UPDATE [dbo].[UserCasinoGames] SET [Caption] = 'VD_Pontoon' WHERE id =7,UPDATE [dbo].[UserCasinoGames] SET IsMobile = 0 WHERE id =7,UPDATE [dbo].[UserCasinoGames] SET Type = 12 WHERE id =7,UPDATE [dbo].[UserCasinoGames] SET IsBonusExcluded = 0 WHERE id =7,
8,93,PuntoBanco,15,Viaden,1,Viaden,12,NORMAL,VD_PuntoBanco,Punto Banco,Table Game,Viaden,10,0,0,0,0,0.1,0,UPDATE [dbo].[UserCasinoGames] SET [Manufacturer] =1  WHERE id=8,UPDATE [dbo].[UserCasinoGames] SET [CaptionEN] = 'Punto Banco' WHERE id =8,UPDATE [dbo].[UserCasinoGames] SET [Category] = 'Table Game' WHERE id =8,UPDATE [dbo].[UserCasinoGames] SET [Caption] = 'VD_PuntoBanco' WHERE id =8,UPDATE [dbo].[UserCasinoGames] SET IsMobile = 0 WHERE id =8,UPDATE [dbo].[UserCasinoGames] SET Type = 12 WHERE id =8,UPDATE [dbo].[UserCasinoGames] SET IsBonusExcluded = 0 WHERE id =8,
9,14,Baccarat,15,Viaden,1,Viaden,12,NORMAL,VD_Baccarat,Baccarat,Baccarat,Viaden,10,0,0,0,0,0.1,1,UPDATE [dbo].[UserCasinoGames] SET [Manufacturer] =1  WHERE id=9,UPDATE [dbo].[UserCasinoGames] SET [CaptionEN] = 'Baccarat' WHERE id =9,UPDATE [dbo].[UserCasinoGames] SET [Category] = 'Baccarat' WHERE id =9,UPDATE [dbo].[UserCasinoGames] SET [Caption] = 'VD_Baccarat' WHERE id =9,UPDATE [dbo].[UserCasinoGames] SET IsMobile = 0 WHERE id =9,UPDATE [dbo].[UserCasinoGames] SET Type = 12 WHERE id =9,UPDATE [dbo].[UserCasinoGames] SET IsBonusExcluded = 1 WHERE id =9,
10,2,BlackjackSurrender,15,Viaden,1,Viaden,12,NORMAL,VD_BlackjackSurrender,Blackjack Surrender,BlackJack,Viaden,10,0,0,0,0,0.1,1,UPDATE [dbo].[UserCasinoGames] SET [Manufacturer] =1  WHERE id=10,UPDATE [dbo].[UserCasinoGames] SET [CaptionEN] = 'Blackjack Surrender' WHERE id =10,UPDATE [dbo].[UserCasinoGames] SET [Category] = 'BlackJack' WHERE id =10,UPDATE [dbo].[UserCasinoGames] SET [Caption] = 'VD_BlackjackSurrender' WHERE id =10,UPDATE [dbo].[UserCasinoGames] SET IsMobile = 0 WHERE id =10,UPDATE [dbo].[UserCasinoGames] SET Type = 12 WHERE id =10,UPDATE [dbo].[UserCasinoGames] SET IsBonusExcluded = 1 WHERE id =10,
